A4A;Intitulé;Adresse;Nombre d'UC;Famille produit;Zone;Equipementier;R+H1:I9505ef équipementier;Machine;fournisseur;Ref Fournisseur;Stock minimum;Stock alerte;No lot;Date d'entrée
AIX_017OLD;Quartz susceptor support;BAT 26B01A6;1;pieces detachees;Depot;AIXTRON;100135010;AIXTRON;AIXTRON;100135010;0;0;22/12/2017;  /  /    
AIX_017OLDND;Quartz susceptor support new design;BAT 26B04B3;1;pieces detachees;Depot;AIXTRON;100135010;AIXTRON;AIXTRON;100135010;0;0;03/01/2018;  /  /    
AIX_017OLDOD;Quartz susceptor support old design;BAT 26B04B3;1;pieces detachees;Depot;AIXTRON;100135010;AIXTRON;AIXTRON;100135010;0;0;03/01/2018;  /  /    
AIX_018;Susceptor, 400µm pins, Used ;BAT 41X01C1;1;pieces detachees;Depot;AIXTRON;100164266;;;;;;;
AIX_018OLD;Susceptor, 400µm pins, Used ;BAT 26B04B4;2;pieces detachees;Depot;AIXTRON;100164266U;AIXTRON;AIXTRON;100164266U;0;0;03/01/2018;  /  /    
AIX_019OLD;Susceptor, 200µm pins, Used ;BAT 26B05B5;1;pieces detachees;Depot;AIXTRON;100193650U;AIXTRON;AIXTRON;100193650U;0;0;03/01/2018;  /  /    
AIX_020;TOP RING J-LINER CRIUS R 200 Graphite Used ;BAT 41X04F1;1;pieces detachees;Depot;AIXTRON;100156011U ;AIXTRON;AIXTRON;100156011U ;0;0;14/02/2018;  /  /    
AIX_021;BOTTOM RING J-LINER CRIUS R 200 Graphite;BAT 41X01F1;3;pieces detachees;Depot;AIXTRON;100137633;AIXTRON;AIXTRON;100137633;0;0;05/02/2018;  /  /    
AIX_022;MIDDLE SECTION J-LINER CRIUS R 200 Graphite Used ;BAT 41X03F1;1;pieces detachees;Depot;AIXTRON;100160536U;AIXTRON;AIXTRON;100160536U;0;0;14/02/2018;  /  /    
AIX_023;Rotating Gate Valve Crius R 200mm Graphite Used ;BAT 41X04F1;1;pieces detachees;Depot;AIXTRON;100152095U ;AIXTRON;AIXTRON;100152095U ;0;0;14/02/2018;  /  /    
AIX_024;"EXHAUST LINER (6x2 FT) """;BAT 41X01E1;3;pieces detachees;Depot;AIXTRON;100003749;AIXTRON;AIXTRON;100003749;0;0;18/01/2016;  /  /    
AIX_025;SHEATH THERMOCOUPLE L=100 mm ;BAT 41X01E1;9;pieces detachees;Depot;AIXTRON;100188141;AIXTRON;AIXTRON;100188141;5;5;14/09/2018;  /  /    
AIX_026;"Outil - Palan pour la showerhead"" """;BAT 26B04A5;2;pieces detachees;Depot;AIXTRON;;AIXTRON;AIXTRON;.;0;0;21/11/2017;  /  /    
AIX_027;Outil - Tuyau Gris (large) ;BAT 26C03A6;1;pieces detachees;Depot;AIXTRON;;AIXTRON;AIXTRON;.;0;0;02/02/2018;  /  /    
AIX_029;CHECK VALVE DN40 ISO KF 25mbar;BAT 41X01E1;4;pieces detachees;Depot;AIXTRON;100001866;AIXTRON;AIXTRON;100001866;0;0;26/07/2018;  /  /    
AIX_030;CHECK VALVE DN40 ISO KF 70mbar SST;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100001867;AIXTRON;AIXTRON;100001867;0;0;26/07/2018;  /  /    
AIX_031;FERRULE 1/16¨ FRONT NYL;BAT 41X01E1;19;pieces detachees;Depot;AIXTRON;100061353;AIXTRON;AIXTRON;100061353;0;0;30/01/2018;  /  /    
AIX_032;FERRULE 1/16¨ BACK NYL;BAT 41X01E1;19;pieces detachees;Depot;AIXTRON;100061355;AIXTRON;AIXTRON;100061355;0;0;30/01/2018;  /  /    
AIX_033;SCREW SOCKET HEAD M4 DEP SHEILD;BAT 41X01E1;12;pieces detachees;Depot;AIXTRON;100202435;AIXTRON;AIXTRON;100202435;0;0;26/08/2016;  /  /    
AIX_034;FLANGED BUSH TOP DEP SHIELD;BAT 41X01E1;12;pieces detachees;Depot;AIXTRON;100202433;AIXTRON;AIXTRON;100202433;0;0;26/08/2016;  /  /    
AIX_035;FLGD BUSH BTM 3MM C'BORE DEP SHEILD;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100202436;AIXTRON;AIXTRON;100202436;0;0;26/08/2016;  /  /    
AIX_036;BOTTOM RING J-LINER SIC HOT SH R200;BAT 41X02F1;1;pieces detachees;Depot;AIXTRON;100201143;AIXTRON;AIXTRON;100201143;0;0;05/02/2018;  /  /    
AIX_037OLD;CRIUS-R 200 FURNITURE ASSY ;BAT 26B01A6;1;pieces detachees;Depot;AIXTRON;100135097;AIXTRON;AIXTRON;100135097;0;0;21/11/2017;  /  /    
AIX_038OLD;SWITCHBOX 10/100MBPS UNMANAGED 16 PORT;BAT 26B01A4;1;pieces detachees;Depot;AIXTRON;100185348;AIXTRON;AIXTRON;100135097;0;0;21/11/2017;  /  /    
AIX_039;DISC QUARTZ 12X4.5 SMALL;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100003639;AIXTRON;AIXTRON;100003639;0;0;26/08/2016;  /  /    
AIX_040;DISC QUARTZ 58X8 MM;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100003637;AIXTRON;AIXTRON;100003637;0;0;13/08/2018;  /  /    
AIX_041;ASSY BEARING HOUSING INSULATED;BAT 41X01E1;3;pieces detachees;Depot;AIXTRON;100183074;AIXTRON;AIXTRON;100183074;0;0;13/08/2018;  /  /    
AIX_042;O-RING*6.1Xx1.6X*EPDM70*black;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100092004;AIXTRON;AIXTRON;100092004;0;0;05/01/2017;  /  /    
AIX_043;O-RING*7.1Xx1.6X*EPDM70*black;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100092002;AIXTRON;AIXTRON;100092002;0;0;05/01/2017;  /  /    
AIX_044;FUSIBLE 5x20 mm 6.3 A T ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;;AIXTRON;ROHS;167-8121;0;0;05/01/2017;  /  /    
AIX_045;ORING 475x3,53 EPDM60 Black ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100092114;AIXTRON;AIXTRON;100092114;0;0;19/01/2017;  /  /    
AIX_046;O-RING 500X3.53 EPDM60 black;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100092115;AIXTRON;AIXTRON;100092115;0;0;27/01/2017;  /  /    
AIX_048;WINDOW DIODE ARRAY;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100156952;AIXTRON;AIXTRON;100156952;0;0;22/02/2017;  /  /    
AIX_049;O-RING*405.26x3.53*EPDM70*black;BAT 41X01E1;4;pieces detachees;Depot;AIXTRON;100092104;AIXTRON;AIXTRON;100092104;0;0;29/05/2017;  /  /    
AIX_053;FEDERRING, CRIUS -R-200,BG;BAT 41X01E1;1;;Depot;AIXTRON;100141907;CRIUS R200;AIXTRON;100141907;0;0;12/06/2018;  /  /    
AIX_056;MIDDLE RING - GRAPHITE - J LINER;BAT 41X03F1;2;pieces detachees;Depot;;100137632;AIXTRON;AIXTRON;100137632;0;0;14/02/2018;  /  /    
AIX_057;BOTTOM RING - J LINER - HEAT OUTSIDE;BAT 41X01F1;2;pieces detachees;Depot;;;AIXTRON;AIXTRON;100137634;0;0;05/02/2018;  /  /    
AIX_058;TOP RING - J LINER - CRIUS R 200;BAT 41X01F1;2;pieces detachees;Depot;;;AIXTRON;AIXTRON;100137415;0;0;05/02/2018;  /  /    
AIX_061;SPRING RING ASSY ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100113988;AIXTRON;AIXTRON;100113988;1;0;31/01/2018;  /  /    
AIX_062;Oring BS012EPDM70 ;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100084342;AIXTRON;AIXTRON;100084342;1;0;08/02/2018;  /  /    
AIX_063;Oring BS277EPDM70 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100092120;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_064;Oring 117*4 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100130612;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_065;Oring 510*3-53 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100084349;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_066;Oring BS258EP70 ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100091991;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_067;Oring BS283EP70 ;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100084348;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_068;Oring BS222EP70 ;BAT 41X01E1;4;pieces detachees;Depot;AIXTRON;100092019;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_069;Oring 370*4-1 ;BAT 41X01E1;9;pieces detachees;Depot;AIXTRON;100064057;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_070;Oring 560*3-53 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100064058;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_071;Shaft, conn Rod, DEP. SHIELD ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100202314;AIXTRON;;;1;0;13/08/2018;  /  /    
AIX_072;Flange, Conn Rod, DEP. SHIELD ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100202313;AIXTRON;;;1;0;08/02/2018;  /  /    
AIX_073;Connecting Rod - DDS ;BAT 41X01E1;4;pieces detachees;Depot;AIXTRON;100159856;AIXTRON;;;2;0;08/02/2018;  /  /    
AIX_074;Linear actuator - with flange (2 câbles) ;BAT 41X01E1;4;pieces detachees;Depot;AIXTRON;100159156;AIXTRON;;;2;0;08/02/2018;  /  /    
AIX_075;"DISC 8 D209 MODUL 2.35 CC300 LO100""";BAT 41X01D1;10;pieces detachees;Depot;AIXTRON;100208515;AIXTRON;;;0;0;25/04/2018;  /  /    
AIX_077;Support ring crius R200;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100135268;CRIUS R200;;;0;0;25/04/2018;  /  /    
AIX_078;CANALISATION EXHAUST AIXTRON zone grillagee ss41;01A00A0;1;pieces detachees;Depot;AIXTRON;;AIXTRON;;;0;0;14/11/2018;  /  /    
AIX_080;Oring 5-1X1-6 ;BAT 41X01E1;5;pieces detachees;Depot;AIXTRON;100091930;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_081;Oring 25-1X1-6 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091938;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_083;Oring 8-1X1-6 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091937;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_084;Oring BS205EPDM70 ;BAT 41X01E1;7;pieces detachees;Depot;AIXTRON;100084343;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_086;Oring 35-5X3 ;BAT 41X01E1;4;pieces detachees;Depot;AIXTRON;100091995;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_087;Oring 14-1X1-6 ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100083478;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_088;Oring 12-6X2-4 ;BAT 41X01E1;9;pieces detachees;Depot;AIXTRON;100105391;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_089;Oring 16-1X1-6 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091934;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_090;Oring 13-1X1-6 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091931;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_091;Oring 184-5X3 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091993;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_092;Oring 37-6X2 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100121749;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_093;Oring BS011V175 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100109131;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_094;Oring 18-1X1-6 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100091935;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_095;Oring 14-6X2-4 ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100092124;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_096;Oring 17-1X1-6 ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100105404;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_097;Oring BS011EP70 ;BAT 41X01E1;2;pieces detachees;Depot;AIXTRON;100092006;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_098;Oring 19-5X3 ;BAT 41X01E1;8;pieces detachees;Depot;AIXTRON;100091940;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_099;Oring BS272EP70 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100092107;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_100;Oring 11-6X2 ;BAT 41X01E1;18;pieces detachees;Depot;AIXTRON;100084351;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_101;Oring 500X3-53 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100092115;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_102;Oring 115X4 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100130613;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_103;Oring 700X4-5 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100092101;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_104;Oring 61-6X2 ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100121747;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_105;Oring BS112EP70 ;BAT 41X01E1;6;pieces detachees;Depot;AIXTRON;100084344;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_107;Oring 535X3-53EP60GR ;BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100092119;AIXTRON;;;1;0;15/05/2018;  /  /    
AIX_109;QUARTZ SUPPORT;01A00A0;2;pieces detachees;Depot;AIXTRON;100143077;AIXTRON;;;1;1;30/05/2018;  /  /    
AIX_110;SPRING CARRIER;01A00A0;1;pieces detachees;Depot;AIXTRON;1001165931;AIXTRON;;;1;1;30/05/2018;  /  /    
AIX_111;SPRING CLAMP RING;01A00A0;1;pieces detachees;Depot;AIXTRON;1001165930;AIXTRON;;;1;1;30/05/2018;  /  /    
AIX_112;SUPPORT RING;01A00A0;1;pieces detachees;Depot;AIXTRON;100135268;AIXTRON;;;1;1;30/05/2018;  /  /    
AIX_113;FLH SCREW DIN7991 M4x10 A4 SST;01A00A0;6;pieces detachees;Depot;AIXTRON;100002887;AIXTRON;;;3;3;30/05/2018;  /  /    
AIX_114;CLAMP TSSEL 20x8x5;01A00A0;3;pieces detachees;Depot;AIXTRON;100000726;AIXTRON;;;3;3;30/05/2018;  /  /    
AIX_115;MODIFIED GRUB SCREW M4x20 A2 70 SST;01A00A0;3;pieces detachees;Depot;AIXTRON;100170181;AIXTRON;;;3;3;30/05/2018;  /  /    
AIX_116;HSHC SCREW DIN912 M4x20 A2 70 SST;01A00A0;3;pieces detachees;Depot;AIXTRON;100002842;AIXTRON;;;3;3;30/05/2018;  /  /    
AIX_117;BUTTON M4 SKT CAP HD SCREW;01A00A0;3;pieces detachees;Depot;AIXTRON;100000722;AIXTRON;;;3;3;30/05/2018;  /  /    
AIX_118;HSHC SCREW DIN912 M4x10 A4 SST;01A00A0;12;pieces detachees;Depot;AIXTRON;100082260;AIXTRON;;;12;12;30/05/2018;  /  /    
AIX_119;SPRING CLAMP RING;BAT 41X01D1;1;pieces detachees;Depot;AIXTRON;100165930;AIXTRON;;;1;1;13/06/2018;  /  /    
AIX_120;SPRING CARRIER;BAT 41X01D1;1;pieces detachees;Depot;AIXTRON;100165931;AIXTRON;;;1;1;13/06/2018;  /  /    
AIX_121;BALL BEARING (FOUR POINT CONTACT);BAT 41X01E1;1;pieces detachees;Depot;AIXTRON;100105292;AIXTRON;;;1;1;17/07/2018;  /  /    
AIX_122;HSHC-SCREW DIN912 M4x8 A2-70 SST;BAT 41X01E1;12;pieces detachees;Depot;AIXTRON;100003031;AIXTRON;;;1;1;14/09/2018;  /  /    
AIX_123;HSHC-SCREW DIN912 M4x25 A4-70 SST;BAT 41X01E1;3;pieces detachees;Depot;AIXTRON;100002843;AIXTRON;;;1;1;14/09/2018;  /  /    
ALI_000;ALIMENTATION LAMBDA 12V;BAT 41F03B3;1;pieces detachees;AAA - Commun;VEECO;LIS-31-12;P5000 (Tous modèles);;;0;0;08/08/2017;  /  /    
AMA_000;TUYAU RPS PRODUSER HDP SICONI FRONTIER SUPPLY;BAT 41F04E1;1;pieces detachees;AAA- Non définie;AMAT;0050-90900;AAA - Non définie;AMAT;0050-90900;0;0;01/02/2017;  /  /    
AMA_001;TUYAU RPS PRODUSER HDP SICONI FRONTIER RETURN;BAT 41F04E1;1;pieces detachees;AAA- Non définie;AMAT;0050-90901;AAA - Non définie;AMAT;0050-90901;0;0;01/02/2017;  /  /    
AMA_002;TUYAU HEAT EXCHANGER 300MM EPI;BAT 41E05G1;4;pieces detachees;AAA- Non définie;AMAT;0050-98708;AAA - Non définie;AMAT;0050-98708;0;0;26/07/2017;  /  /    
AMA_003;JOINT CATHODE BODY DPS 300;BAT 41F04E1;1;pieces detachees;AAA - Commun;AMAT;3700-01369;AMAT (TOUTES);AMAT;3700-01369;0;0;09/08/2017;  /  /    
AMA_004;FIBRE OPTIC P5000/CENT;BAT 41F04E1;2;pieces detachees;AAA - Commun;AMAT;0010-35792;;AMAT;0010-35792;0;0;05/10/2017;  /  /    
AMA_006;WINDOW COVER 5,X FILTRE UV LAMPE FI;BAT 41N02G1;1;pieces detachees;Depot;AMAT;0041-53638;AMAT(TOUTES);;;;;;
AMA_007;WINDOW COVER LEFT  SIDE 5,X  FILTRE UV LAMPE FI;BAT 41N02G1;1;pieces detachees;Depot;AMAT;0041-54493;AMAT(TOUTES);;;;;;
AMA_008;ORING ID 10,984 CSD ,139 VITON 75 DURO;BAT 41F04E1;2;pieces detachees;Depot;AMAT;3700-02447;;;;;;;
AMP_019;LAMPE 6V 10W PHILLIPS - HAL/6605 6V10G4;BAT 41Q06C2;4;pieces detachees;Gravure;TEL;ES046-000656-1;TEL UNITY1;COMPTOIR;350268096;0;1;27/12/2010;  /  /    
AMP_020;STARTER - LAMPE A ARMOCAGE DE PLASMA;BAT 41R00B2;2;pieces detachees;Gravure;GASONICS;73789-04;IPC (Tous modèles);;;0;1;04/09/2018;  /  /    
AMP_022;LAMPE CM85 28V;BAT 41R00C3;6;pieces detachees;Gravure;GASONICS;72957-06;IPC (Tous modèles);;;0;1;27/12/2010;  /  /    
AMP_023;LAMPE 85;BAT 41R00C3;4;pieces detachees;Gravure;GASONICS;71311-01;IPC (Tous modèles);;;0;1;27/12/2010;  /  /    
AMP_024;LAMPE M1 757;BAT 41R00C3;2;pieces detachees;Gravure;GASONICS;73797-01;IPC (Tous modèles);;;0;1;27/12/2010;  /  /    
AMP_F01;Lampes pour four JIPELEC 5;BAT 41A04E1;8;pieces detachees;TTH / Chimie;QUALIFLOW;10321131;JIPELEC 5;;;0;0;12/11/2015;  /  /    
AMP_F20;AMPOULE HALOGEN JTHZ 240V-1500WC;BAT 41F02A3;13;pieces detachees;Litho;AAA - Non définie;*;FSM 900;STI;312-0005;0;0;27/12/2010;  /  /    
AMP_F22;LAMP BULB 1000W CLEAR CAN;BAT 41Z01D1;18;pieces detachees;Depot;AMAT;1010-01088;P5000 (Tous modèles);USHIO;090421JCV120V1000WBM;0;0;06/07/2018;  /  /    
AMP_F23;BA9S 9MM MBC 30V 2W FILAMENTS LAMPS;BAT 41X06N1;88;pieces detachees;Depot;AMAT;*;P5000 (Tous modèles);RADIOSPARE;577-487;0;0;27/12/2010;  /  /    
AMP_F24;LAMPE QUARTZ INFRD HALOGEN 480 V-DRL SP RT;BAT 41Y01F1;4;pieces detachees;Depot;ASM;43-105310A64;EPSILON 3200A;XYCARB;10211456;10;10;28/06/2017;  /  /    
AMP_F27A;MERCURY XENON LAMP (2 48NM );BAT 41F02B3;1;pieces detachees;Litho;DNS;23973674;DNS RF3A;;;0;2;14/05/2018;  /  /    
AMP_F28;LAMP L2 D2 AU DEUTERIUM;BAT 41M01C1;4;pieces detachees;Metrologie;WOOLLAMN;*;WOOLLAM1;HAMAMATSU;L6999-50;0;2;07/03/2017;  /  /    
AMP_F31;LAMPE XENON;BAT 41K01N1;3;pieces detachees;Metrologie;KLA TENCOR;L2174-01;UV1050;HAMAMATSU;L2174-01;0;3;09/06/2017;  /  /    
AMP_F32;LAMPE UXM - S 200KL  MERCURE POUR ALARM / ALA;BAT 41F02A2;0;pieces detachees;Metrologie;ALSYS;2502150;ALARM;USHIO;UXM-S200KL;0;2;25/07/2018;  /  /    
AMP_F34;LAMPES;BAT 41F02C4;10;pieces detachees;AAA- Non définie;AAA - Non définie;;AAA - Non définie;;;0;0;25/05/2011;  /  /    
AMP_F35;AMPOULE 24V 85MA 10X28;BAT 41F02B4;13;pieces detachees;AAA- Non définie;AAA - Non définie;;AAA - Non définie;;;0;0;25/05/2011;  /  /    
AMP_F38;LAMP HALOGEN 120V 600W ;BAT 41F03F1;20;pieces detachees;Depot;AMAT;1010-01424;END 5500 (Tous modèles);GE;DVY;0;0;27/12/2010;  /  /    
AMP_F40;LAMPE SUBMINI 28V;BAT 41R00C3;12;pieces detachees;Gravure;GASONICS;9FAA7001;IPC (Tous modèles);;;0;6;27/12/2010;  /  /    
AMP_K01;NEON TL6W/33;BAT 41A03E1;25;pieces detachees;TTH / Chimie;TEL;*;TEL ALPHA (Tous modèles);PHILIPS;ND;0;5;27/12/2010;  /  /    
AMP_K06;AMPOULES 12V;BAT 41F03F3;6;pieces detachees;Litho;RIGAKU;H-1211;TXRF 300A;;;0;0;20/06/2017;  /  /    
AMP_K08;BULB 28V 40 MA T1-3/4 MIDGET GROOVE;BAT 41S06D1;1;pieces detachees;Gravure;NEXTRAL;B5000559228;NE330A;;;0;0;14/12/2011;  /  /    
AMP_K10;LAMPE MERCURE HBO 1500W / PIL;BAT 41F02A1;4;pieces detachees;Litho;ASM;;ASM 100A;OSRAM;HBO1500W / PIL;2;2;30/07/2018;  /  /    
AMP_K11;LAMPE HALOGENE;BAT 41A04E1;24;pieces detachees;TTH / Chimie;QUALIFLOW;;JIPELEC2;QUALIFLOW;QIR 480 - 6000 E - AK176740);0;0;15/09/2014;  /  /    
AMP_K12;LAMPE HALOGENE;BAT 41A04E1;20;pieces detachees;TTH / Chimie;QUALIFLOW;;JIPELEC1;QUALIFLOW;QIR 230 / 250 - 2000 UI6;0;0;15/12/2011;  /  /    
AMP_K13;LAMPE MERCURE HBO 1000W/D;BAT 41F02E3;4;pieces detachees;Litho;SUSS MICROTEC;;MA8A;OSRAM;HBO1000W/D;0;3;15/10/2018;  /  /    
AMP_K14;AMPOULE 2,5V 200MA;BAT 41O03D3;24;pieces detachees;TTH / Chimie;ALPSITEC;*;M550 (Tous modèles);RADIOSPARE;369-2775;0;1;27/12/2010;  /  /    
AMP_K15;LAMP H+ BULB AMAT PACKAGE APPLED ONLY;BAT 41Z03E2;1;pieces detachees;Depot;AMAT;0195-04787;PRODUCER SE1;;;0;2;01/06/2018;  /  /    
AMP_K18;LAMP QUARTZ 500W 120V T3 TRANSLUCENT IRE;BAT 41F03F4;1;pieces detachees;Depot;AMAT;*;END 5500 (Tous modèles);;;0;1;27/12/2010;  /  /    
AMP_K21;LAMPE SOPM;BAT 41O01C1;1;pieces detachees;TTH / Chimie;EBARA;C-5176-047-0001;EBARA1;;;0;1;14/03/2018;  /  /    
AMP_K22;LAMP HALOGEN 120V 1000W;BAT 41F02A3;8;pieces detachees;Litho;ON TRAK;73-0001-010;SCRUB (Tous modèles);ONTRAK;73-0001-010;0;1;27/12/2010;  /  /    
AMP_K23;NEON FI LAMP 17W;BAT 41Z07D1;2;pieces detachees;Depot;AMAT;1010-01529;;AMAT;1010-01529;0;0;30/01/2017;  /  /    
